neighborhood,property_type,bedrooms,bathrooms,sqft,lot_size,year_built,age,has_garage,has_basement,has_renovation,distance_to_downtown_km,walk_score,latitude,longitude,price
Yaletown,Townhouse,2,1,1742,2002,2006,19,1,0,0,2.4,73,49.2711,-123.1256,1223000
Riley Park,House,5,2,2791,7868,1934,91,1,0,1,5.8,81,49.2446,-123.1046,1786000
Fairview,House,3,3,1800,3079,1921,104,1,1,1,3.9,66,49.2629,-123.1271,1671000
Gastown,Townhouse,3,2,1696,1256,1937,88,0,0,0,0.5,93,49.2824,-123.1095,984000
Point Grey,Condo,1,1,815,0,1979,46,0,0,0,9.7,36,49.2712,-123.1953,832000
Kitsilano,Condo,2,1,725,0,1926,99,0,0,1,5.3,75,49.2728,-123.1594,642000
Kerrisdale,Condo,1,1,703,0,1933,92,0,0,0,9.3,44,49.2335,-123.1659,641000
West End,House,3,2,2617,3384,1978,47,1,0,0,2.2,74,49.2786,-123.1351,1739000
Killarney,Townhouse,2,2,1389,1610,1981,44,1,0,1,12.5,30,49.2347,-123.0458,585000
Hastings-Sunrise,Condo,1,1,810,0,2007,18,0,0,0,6.1,44,49.2813,-123.0317,459000
West End,Condo,1,1,788,0,1963,62,0,0,0,1.1,82,49.2896,-123.1371,587000
West End,Condo,2,1,1214,0,1935,90,0,0,1,1.1,85,49.2782,-123.1337,767000
Yaletown,House,3,3,3568,3687,2011,14,0,1,0,0.8,77,49.2654,-123.1204,2532000
Kitsilano,House,3,2,3050,4394,1938,87,0,0,0,5.8,65,49.2691,-123.1638,1988000
Kerrisdale,Condo,1,1,966,0,1973,52,0,0,1,7.3,53,49.2307,-123.1616,756000
Gastown,Townhouse,2,2,1339,1861,1941,84,1,0,0,1.3,85,49.2831,-123.1007,963000
Shaughnessy,Condo,1,1,923,0,1923,102,1,0,1,4.2,67,49.2454,-123.1374,1049000
Kerrisdale,Townhouse,3,1,1315,1683,1986,39,1,0,0,7.9,55,49.2342,-123.16,1313000
Mount Pleasant,House,4,3,3745,3683,1967,58,1,1,0,3.5,77,49.2561,-123.0985,1684000
Gastown,Condo,2,1,941,0,1951,74,0,1,0,0.7,72,49.2809,-123.1076,704000
Killarney,House,5,3,1805,7139,1979,46,1,0,1,13.3,30,49.2357,-123.0418,1172000
Killarney,House,4,3,2267,6720,2009,16,1,0,0,10.8,30,49.2233,-123.0466,1442000
Mount Pleasant,House,4,3,3332,6285,1988,37,1,1,1,6.2,69,49.2642,-123.0971,1911000
Riley Park,House,4,3,2779,5323,2020,5,1,0,0,7.0,53,49.2443,-123.0903,1612000
Kitsilano,Condo,1,1,876,0,1951,74,0,0,0,5.7,56,49.2714,-123.1676,762000
Kerrisdale,Townhouse,3,2,1399,1586,1965,60,1,0,0,7.6,50,49.2301,-123.1518,1084000
Dunbar,Condo,2,1,1138,0,1955,70,0,0,0,9.7,54,49.2571,-123.1844,659000
Dunbar,Condo,1,1,1172,0,2015,10,0,0,0,9.6,38,49.2491,-123.1823,833000
Point Grey,Condo,1,1,868,0,1931,94,0,0,0,9.4,43,49.2593,-123.2168,790000
Point Grey,Condo,1,1,1191,0,2004,21,0,0,0,10.7,36,49.2664,-123.2034,825000
West End,Condo,1,1,728,0,1995,30,0,0,0,1.2,81,49.2835,-123.1408,701000
Mount Pleasant,House,3,3,3929,7736,2008,17,1,1,0,3.5,53,49.2569,-123.0968,2078000
Sunset,House,5,2,3137,3281,2011,14,0,0,0,8.8,37,49.2203,-123.1043,1467000
Kitsilano,House,4,3,3301,3368,2018,7,1,1,1,5.7,55,49.2752,-123.1715,2099000
Renfrew,House,4,3,2941,3848,1955,70,1,1,0,9.3,30,49.2549,-123.0381,1257000
Marpole,Townhouse,2,2,1203,2878,1924,101,1,0,0,10.5,30,49.2104,-123.1228,747000
Kerrisdale,House,3,3,3297,5671,1924,101,0,1,0,8.0,47,49.2262,-123.1533,1816000
Grandview,Townhouse,3,2,1000,2696,1969,56,0,0,0,4.9,63,49.2782,-123.0632,807000
Mount Pleasant,Townhouse,2,2,1660,2294,2001,24,0,0,0,4.0,71,49.2596,-123.0943,821000
Hastings-Sunrise,Townhouse,2,1,1088,2026,1953,72,0,0,1,6.7,41,49.2701,-123.0338,655000
Point Grey,House,4,3,2406,4728,1986,39,0,1,0,9.1,33,49.2635,-123.1948,2269000
Hastings-Sunrise,House,3,3,3077,4031,1953,72,1,1,1,5.7,61,49.2816,-123.0341,1323000
Renfrew,Townhouse,2,1,1855,2546,1971,54,1,0,0,9.4,30,49.2602,-123.0442,726000
Oakridge,House,5,2,3735,6748,1937,88,1,1,1,7.0,48,49.2228,-123.1234,1865000
Riley Park,House,3,3,1800,6244,1937,88,1,1,0,5.5,58,49.2421,-123.1053,1631000
Coal Harbour,Townhouse,3,2,1596,1794,1952,73,1,0,0,0.5,97,49.2919,-123.1185,1407000
Renfrew,Townhouse,3,2,1382,2403,1976,49,0,0,0,9.5,39,49.2552,-123.0471,694000
Riley Park,House,4,3,3581,3771,2019,6,1,1,0,4.2,85,49.237,-123.1009,1615000
Gastown,Townhouse,2,1,1931,2272,1943,82,0,0,1,1.9,84,49.2864,-123.1087,1046000
Renfrew,Townhouse,3,1,1625,2234,1983,42,0,0,0,9.9,44,49.2491,-123.0464,693000
Oakridge,Condo,2,1,1119,0,1937,88,0,0,0,4.8,51,49.2261,-123.1096,699000
Grandview,Townhouse,2,2,1867,2323,1970,55,0,0,0,5.3,56,49.2749,-123.0647,853000
Yaletown,Condo,1,1,815,0,2020,5,0,0,1,0.5,87,49.272,-123.1197,967000
Marpole,House,3,3,3187,5699,1948,77,1,0,0,11.2,45,49.2028,-123.1276,1436000
West End,Townhouse,3,2,1246,1962,2009,16,0,0,0,0.8,100,49.2865,-123.1304,1124000
Dunbar,Townhouse,2,2,1961,1873,1928,97,0,0,0,10.0,39,49.2617,-123.1844,1167000
Shaughnessy,House,3,3,2466,5686,1994,31,0,1,0,4.1,70,49.2454,-123.1446,2677000
Killarney,Condo,2,1,1171,0,1941,84,1,0,0,12.1,30,49.2305,-123.0441,488000
Gastown,Condo,1,1,718,0,1970,55,1,0,1,0.5,100,49.2899,-123.1213,573000
Grandview,Condo,2,1,840,0,1927,98,0,0,0,5.4,69,49.2732,-123.0703,471000
Strathcona,Townhouse,3,1,1113,1553,1991,34,1,0,1,3.7,61,49.2768,-123.0889,706000
Oakridge,Condo,2,1,839,0,1956,69,1,0,1,7.7,53,49.2294,-123.1157,665000
Point Grey,House,3,3,3505,6123,1930,95,1,1,0,8.9,51,49.2722,-123.2108,2090000
Mount Pleasant,Townhouse,2,2,1649,2973,2006,19,0,0,1,3.0,77,49.2553,-123.0973,978000
Renfrew,Condo,2,1,618,0,2006,19,0,0,0,10.1,39,49.2513,-123.0464,467000
Coal Harbour,Townhouse,2,1,2086,2397,1990,35,0,0,0,2.7,73,49.2929,-123.1236,1628000
Kitsilano,House,5,3,3706,6607,2023,2,1,1,0,5.5,63,49.271,-123.1756,2600000
Renfrew,Townhouse,2,1,1712,2053,1992,33,1,0,0,9.0,39,49.2555,-123.0458,768000
West End,House,5,3,3815,7810,1936,89,0,1,1,0.9,94,49.2901,-123.1309,2315000
West End,Condo,2,1,1246,0,2024,1,0,1,0,2.5,84,49.2882,-123.1351,970000
Strathcona,Condo,1,1,1193,0,1958,67,0,0,0,3.3,63,49.2737,-123.0733,481000
Kerrisdale,Condo,2,1,450,0,1958,67,0,0,0,7.2,62,49.2343,-123.1516,580000
Mount Pleasant,House,4,3,3631,6993,1958,67,1,1,1,4.0,69,49.254,-123.0982,1945000
Hastings-Sunrise,House,5,2,4322,3016,1964,61,1,1,1,6.9,40,49.2756,-123.0406,1399000
West End,Townhouse,2,2,1895,2900,1930,95,0,0,0,1.3,82,49.2836,-123.131,1023000
Sunset,Condo,2,1,894,0,1960,65,1,0,0,8.6,58,49.2188,-123.0896,469000
Kerrisdale,House,3,2,3060,4955,2011,14,1,1,0,9.6,41,49.2336,-123.1549,2159000
Mount Pleasant,Condo,1,1,935,0,1956,69,1,0,1,3.3,73,49.2746,-123.1037,736000
Kerrisdale,Condo,2,1,1187,0,1952,73,0,0,0,8.6,53,49.2383,-123.1502,858000
Coal Harbour,House,3,2,3121,7395,1961,64,1,1,0,1.7,84,49.2911,-123.1166,2392000
Yaletown,House,3,3,3590,3579,2017,8,1,1,0,0.5,89,49.2767,-123.1208,2385000
Shaughnessy,Townhouse,2,2,1652,1322,2010,15,1,0,0,6.2,53,49.2531,-123.1407,1511000
Killarney,Townhouse,2,1,2069,2429,1945,80,1,0,0,12.8,36,49.2292,-123.0475,661000
Shaughnessy,Condo,2,1,1027,0,2020,5,0,0,1,6.0,59,49.2418,-123.1352,1138000
Kerrisdale,House,3,3,3791,5366,1991,34,1,1,1,8.2,47,49.2311,-123.1559,2189000
Riley Park,House,4,2,3040,3006,1990,35,1,0,0,4.5,67,49.2446,-123.1054,1427000
Mount Pleasant,Townhouse,2,2,1516,1330,1983,42,0,0,0,3.9,80,49.2667,-123.0968,1009000
Fairview,House,3,3,3147,6090,1939,86,1,0,0,1.6,82,49.2616,-123.1236,1780000
Yaletown,House,5,3,3817,4000,1963,62,1,0,0,1.6,82,49.2775,-123.119,2154000
Strathcona,Condo,2,1,1174,0,1926,99,0,0,0,2.9,74,49.2864,-123.0893,534000
Riley Park,House,3,2,2933,7879,2019,6,0,0,0,6.3,62,49.2398,-123.1021,1412000
Sunset,Condo,1,1,605,0,1926,99,0,0,0,8.7,42,49.2169,-123.0993,418000
Killarney,Condo,2,1,978,0,1955,70,1,0,0,13.9,31,49.2206,-123.0518,453000
Kerrisdale,Condo,2,1,808,0,1945,80,0,0,1,9.1,47,49.2247,-123.1563,741000
Shaughnessy,Condo,1,1,1197,0,1989,36,0,0,0,4.1,83,49.236,-123.1398,1199000
Renfrew,Townhouse,3,2,1422,2404,2024,1,0,0,0,8.1,42,49.2562,-123.0369,814000
West End,Townhouse,3,2,1928,2204,1980,45,1,0,1,1.3,73,49.287,-123.1385,1324000
Riley Park,House,3,3,3244,7339,2014,11,1,1,1,6.3,49,49.2443,-123.1014,1898000
Gastown,Townhouse,2,1,1412,2762,2005,20,1,0,0,3.0,74,49.2863,-123.1106,981000
Shaughnessy,Condo,2,1,972,0,1987,38,0,0,0,5.5,75,49.2445,-123.1408,921000
Strathcona,Condo,1,1,909,0,1967,58,0,0,1,3.7,73,49.2825,-123.0877,388000
Marpole,Townhouse,2,1,1554,2180,2008,17,0,0,0,8.8,30,49.2221,-123.1234,800000
Grandview,Condo,2,1,965,0,1997,28,0,0,0,4.5,67,49.2727,-123.0701,636000
Riley Park,House,3,2,4500,6824,1989,36,0,0,0,6.6,54,49.2446,-123.1001,1953000
Sunset,House,3,2,2641,5429,1971,54,1,0,0,8.8,39,49.2194,-123.0842,1216000
Marpole,Condo,1,1,673,0,1993,32,0,0,1,8.7,41,49.2103,-123.125,469000
Yaletown,Townhouse,3,2,1299,1204,1941,84,0,0,1,1.1,88,49.2797,-123.1225,1036000
Gastown,Townhouse,2,2,1342,2517,2019,6,0,0,1,0.5,80,49.2771,-123.1065,1217000
Kerrisdale,Townhouse,2,1,1206,1762,1954,71,0,0,1,8.7,58,49.2346,-123.156,903000
Kerrisdale,Condo,2,1,584,0,1958,67,0,1,1,6.6,60,49.2364,-123.1574,855000
Marpole,House,3,2,2048,4834,1989,36,1,1,0,10.2,40,49.2127,-123.1248,1114000
Riley Park,Condo,1,1,568,0,1954,71,0,0,1,4.6,71,49.2467,-123.1066,496000
Point Grey,Condo,2,1,1301,0,1936,89,0,0,0,8.3,41,49.2703,-123.1962,914000
Kitsilano,Townhouse,2,2,1375,2559,1952,73,0,0,1,5.9,55,49.2603,-123.174,936000
Fairview,Condo,1,1,662,0,1987,38,0,0,0,0.6,100,49.2641,-123.1413,737000
Grandview,House,4,2,3770,7340,1925,100,1,1,0,4.9,62,49.2754,-123.0673,1618000
Hastings-Sunrise,Townhouse,2,1,2200,2576,1971,54,0,0,1,6.4,53,49.2813,-123.0414,772000
Marpole,Townhouse,3,2,1817,1200,1962,63,0,0,1,8.2,43,49.2082,-123.1311,784000
Fairview,Townhouse,3,1,1764,2312,1923,102,0,0,0,1.9,88,49.2512,-123.1243,929000
